epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1524.55,0.26846,0.07962,0.02997,0.18326,0.79559,0.99978,1,0.995,0.98263,0.99408,0.99429,0.98981,0.98904,0.20013,0.06338,0.00057,0.13265,0.73338,0.000855018,0.000855018,0.000855018
52,1553.29,0.27151,0.07034,0.02607,0.18477,0.7946,0.99995,1,0.995,0.98174,0.99425,0.99429,0.98993,0.98922,0.20318,0.05736,0.00061,0.13292,0.73406,0.000849477,0.000849477,0.000849477
53,1581.9,0.26554,0.06784,0.02727,0.18048,0.79413,0.99991,1,0.995,0.98352,0.99499,0.99508,0.99082,0.98997,0.19636,0.05194,0.00052,0.13007,0.73226,0.000843851,0.000843851,0.000843851
54,1610.65,0.26072,0.07039,0.02744,0.17665,0.79222,0.99976,1,0.995,0.9832,0.99445,0.99469,0.99061,0.9888,0.19592,0.05987,0.0005,0.12904,0.73322,0.000838141,0.000838141,0.000838141
55,1639.44,0.26354,0.07369,0.02724,0.17737,0.79442,0.99975,1,0.995,0.98374,0.99405,0.99429,0.99009,0.9897,0.19271,0.05827,0.00056,0.12809,0.73242,0.000832349,0.000832349,0.000832349
56,1668.39,0.25812,0.06685,0.02541,0.17689,0.7952,0.99994,1,0.995,0.98399,0.99601,0.99606,0.99212,0.9905,0.19052,0.05327,0.00048,0.12752,0.73229,0.000826477,0.000826477,0.000826477
57,1697.29,0.26288,0.0629,0.02459,0.17903,0.79213,0.99977,1,0.995,0.98339,0.99524,0.99547,0.99206,0.99182,0.19611,0.04671,0.0005,0.12777,0.73267,0.000820525,0.000820525,0.000820525
58,1726.17,0.26166,0.07058,0.02744,0.17665,0.79378,0.99977,1,0.995,0.98222,0.99427,0.99449,0.99012,0.98913,0.20489,0.05761,0.00044,0.12793,0.73312,0.000814495,0.000814495,0.000814495
59,1754.81,0.261,0.07931,0.02844,0.17381,0.79257,0.99997,1,0.995,0.98149,0.99485,0.99488,0.99104,0.99003,0.20467,0.06005,0.0004,0.12849,0.7345,0.000808389,0.000808389,0.000808389
60,1783.54,0.26277,0.06943,0.02817,0.17829,0.79416,0.99997,1,0.995,0.98374,0.99505,0.99508,0.99143,0.99015,0.19962,0.05489,0.00044,0.12795,0.73291,0.000802208,0.000802208,0.000802208
61,1812.14,0.25814,0.06383,0.02429,0.17531,0.79052,0.9998,1,0.995,0.98302,0.99488,0.99508,0.99109,0.99026,0.19411,0.05482,0.0004,0.12653,0.73231,0.000795954,0.000795954,0.000795954
62,1840.8,0.25821,0.06624,0.02599,0.17521,0.79388,0.99999,0.9998,0.995,0.98355,0.99448,0.99429,0.99023,0.98865,0.20074,0.06328,0.00041,0.12852,0.73317,0.000789628,0.000789628,0.000789628
63,1869.36,0.25639,0.06859,0.02617,0.17318,0.7932,0.99976,1,0.995,0.98369,0.99347,0.9937,0.98919,0.98793,0.19195,0.06465,0.00061,0.12443,0.73219,0.000783231,0.000783231,0.000783231
64,1898,0.25841,0.07158,0.02777,0.17489,0.79087,0.99995,1,0.995,0.98346,0.99602,0.99606,0.99143,0.99023,0.19577,0.04826,0.00048,0.12587,0.73342,0.000776766,0.000776766,0.000776766
65,1926.68,0.25776,0.07146,0.02445,0.17321,0.79006,0.99974,1,0.995,0.98359,0.99364,0.9939,0.98937,0.98873,0.19478,0.05884,0.00043,0.12553,0.73231,0.000770234,0.000770234,0.000770234
66,1955.19,0.25999,0.06773,0.02709,0.17308,0.7925,0.99994,1,0.995,0.9843,0.99561,0.99567,0.99208,0.99046,0.19291,0.05037,0.00037,0.12266,0.73201,0.000763637,0.000763637,0.000763637
67,1984.04,0.26553,0.06921,0.02702,0.17468,0.79289,0.99997,1,0.995,0.98292,0.99524,0.99528,0.99058,0.98923,0.19104,0.05591,0.00041,0.12182,0.73251,0.000756976,0.000756976,0.000756976
68,2012.93,0.25639,0.0673,0.02508,0.16956,0.79332,0.99987,1,0.995,0.98368,0.99456,0.99469,0.99077,0.98996,0.18543,0.05402,0.00048,0.12057,0.73137,0.000750252,0.000750252,0.000750252
69,2041.81,0.25561,0.05994,0.02519,0.17017,0.78958,0.99991,1,0.995,0.98398,0.99283,0.99292,0.98874,0.98781,0.18793,0.0653,0.00037,0.1222,0.73174,0.000743468,0.000743468,0.000743468
70,2070.69,0.25586,0.06395,0.02441,0.17073,0.79011,0.99997,1,0.995,0.98375,0.99604,0.99606,0.99166,0.99104,0.19113,0.04358,0.0005,0.1194,0.73205,0.000736625,0.000736625,0.000736625
71,2099.53,0.25239,0.05951,0.02406,0.16646,0.793,0.99997,1,0.995,0.98378,0.99308,0.99311,0.98866,0.9875,0.19221,0.0651,0.00039,0.12205,0.73206,0.000729725,0.000729725,0.000729725
72,2128.39,0.25321,0.07609,0.02521,0.1698,0.7872,0.99994,1,0.995,0.98449,0.99581,0.99587,0.99094,0.98962,0.18698,0.04913,0.00037,0.11964,0.73183,0.00072277,0.00072277,0.00072277
73,2157.37,0.25255,0.05604,0.02502,0.16901,0.79211,0.99997,1,0.995,0.98414,0.99505,0.99508,0.99089,0.98997,0.18841,0.05367,0.00039,0.11878,0.73172,0.000715761,0.000715761,0.000715761
74,2186.45,0.25263,0.06371,0.02819,0.16696,0.79279,0.99993,1,0.995,0.98349,0.99521,0.99528,0.99046,0.99005,0.19022,0.0498,0.00033,0.11909,0.73246,0.0007087,0.0007087,0.0007087
75,2215.31,0.25848,0.07157,0.02378,0.17054,0.79393,0.99994,1,0.995,0.98416,0.99542,0.99547,0.99065,0.9898,0.18795,0.04937,0.00039,0.11801,0.73193,0.000701588,0.000701588,0.000701588
76,2244.13,0.24782,0.05662,0.02322,0.16293,0.79147,0.99997,1,0.995,0.98359,0.99525,0.99528,0.99081,0.98988,0.19391,0.05075,0.00046,0.12161,0.73259,0.000694428,0.000694428,0.000694428
77,2272.71,0.24517,0.0607,0.02124,0.16374,0.78914,0.99976,1,0.99499,0.9844,0.99523,0.99547,0.99155,0.99017,0.18824,0.0494,0.00037,0.11983,0.73152,0.000687222,0.000687222,0.000687222
